1st,2nd,3rd,4th,Weight
1,,,,20873
1,2,,,21312
1,2,3,,9292
1,2,3,4,277
1,2,4,,1236
1,2,4,3,830
1,3,,,616
1,3,2,,2424
1,3,2,4,77
1,3,4,,38
1,3,4,2,67
1,4,,,532
1,4,2,,303
1,4,2,3,288
1,4,3,,27
1,4,3,2,119
2,,,,10883
2,1,,,17889
2,1,3,,6211
2,1,3,4,178
2,1,4,,1175
2,1,4,3,510
2,3,,,6333
2,3,1,,6511
2,3,1,4,130
2,3,4,,521
2,3,4,1,744
2,4,,,437
2,4,1,,277
2,4,1,3,202
2,4,3,,156
2,4,3,1,329
3,,,,20925
3,1,,,974
3,1,2,,2451
3,1,2,4,78
3,1,4,,81
3,1,4,2,67
3,2,,,22775
3,2,1,,14643
3,2,1,4,294
3,2,4,,2014
3,2,4,1,1916
3,4,,,3200
3,4,1,,263
3,4,1,2,492
3,4,2,,2169
3,4,2,1,2387
4,,,,537
4,1,,,106
4,1,2,,119
4,1,2,3,130
4,1,3,,23
4,1,3,2,47
4,2,,,234
4,2,1,,219
4,2,1,3,178
4,2,3,,146
4,2,3,1,256
4,3,,,227
4,3,1,,23
4,3,1,2,98
4,3,2,,242
4,3,2,1,386
