simulation,winner_full,winner_reduced
1,217572,219978
2,217572,217572
3,217572,219469
4,217572,217572
5,217572,219469
6,217572,217572
7,217572,217572
8,217572,219978
9,217572,219978
10,217572,219978
11,217572,217572
12,217572,219978
13,217572,217572
14,217572,219978
15,217572,217572
16,217572,217572
17,217572,219978
18,217572,219469
19,217572,219469
20,217572,219469
21,217572,217572
22,217572,217572
23,217572,219978
24,217572,217572
25,217572,217572
26,217572,217572
27,217572,219469
28,217572,219978
29,217572,219469
30,217572,219978
31,217572,219978
32,217572,217572
33,217572,219469
34,217572,219469
35,217572,219978
36,217572,217572
37,217572,217572
38,217572,217572
39,217572,219978
40,217572,219978
41,217572,219978
42,217572,219469
43,217572,219978
44,217572,219978
45,217572,217572
46,217572,217572
47,217572,217572
48,217572,217572
49,217572,219469
50,217572,219978
51,217572,219978
52,217572,219469
53,217572,219469
54,217572,219469
55,217572,219978
56,217572,217572
57,217572,219469
58,217572,217572
59,217572,219469
60,217572,219469
61,217572,219469
62,217572,219469
63,217572,219978
64,217572,219469
65,217572,219469
66,217572,217572
67,217572,219469
68,217572,217572
69,217572,219978
70,217572,217572
71,217572,219469
72,217572,217572
73,217572,219469
74,217572,217572
75,217572,219469
76,217572,217572
77,217572,219978
78,217572,219978
79,217572,219978
80,217572,219978
81,217572,217572
82,217572,219469
83,217572,217572
84,217572,217572
85,217572,219978
86,217572,217572
87,217572,219469
88,217572,219978
89,217572,219978
90,217572,219469
91,217572,219978
92,217572,217572
93,217572,219978
94,217572,219469
95,217572,219978
96,217572,217572
97,217572,217572
98,217572,219469
99,217572,217572
100,217572,217572
101,217572,219978
102,217572,219978
103,217572,217572
104,217572,217572
105,217572,217572
106,217572,219469
107,217572,217572
108,217572,219978
109,217572,217572
110,217572,219469
111,217572,219978
112,217572,219978
113,217572,217572
114,217572,219978
115,217572,219469
116,217572,219469
117,217572,217572
118,217572,219469
119,217572,219469
120,217572,219978
121,217572,219469
122,217572,219469
123,217572,219469
124,217572,219978
125,217572,217572
126,217572,219978
127,217572,217572
128,217572,217572
129,217572,219469
130,217572,219469
131,217572,219469
132,217572,217572
133,217572,219469
134,217572,219978
135,217572,217572
136,217572,219978
137,217572,217572
138,217572,219978
139,217572,219978
140,217572,217572
141,217572,217572
142,217572,219978
143,217572,219469
144,217572,219978
145,217572,219978
146,217572,217572
147,217572,217572
148,217572,217572
149,217572,217572
150,217572,219978
151,217572,219469
152,217572,219978
153,217572,217572
154,217572,217572
155,217572,219978
156,217572,219978
157,217572,217572
158,217572,217572
159,217572,219978
160,217572,219978
161,217572,219978
162,217572,217572
163,217572,219469
164,217572,219978
165,217572,219978
166,217572,219978
167,217572,217572
168,217572,217572
169,217572,217572
170,217572,219978
171,217572,219978
172,217572,217572
173,217572,219978
174,217572,217572
175,217572,219978
176,217572,219469
177,217572,217572
178,217572,219978
179,217572,217572
180,217572,219978
181,217572,219978
182,217572,217572
183,217572,217572
184,217572,219978
185,217572,219469
186,217572,217572
187,217572,219469
188,217572,217572
189,217572,219469
190,217572,219469
191,217572,217572
192,217572,219978
193,217572,219469
194,217572,219469
195,217572,219469
196,217572,217572
197,217572,219978
198,217572,219469
199,217572,219978
200,217572,217572
201,217572,217572
202,217572,217572
203,217572,217572
204,217572,219978
205,217572,217572
206,217572,219978
207,217572,219469
208,217572,217572
209,217572,217572
210,217572,219978
211,217572,219978
212,217572,219469
213,217572,219978
214,217572,219978
215,217572,219978
216,217572,219469
217,217572,217572
218,217572,219469
219,217572,219978
220,217572,219978
221,217572,219469
222,217572,219469
223,217572,219469
224,217572,219978
225,217572,217572
226,217572,219469
227,217572,217572
228,217572,219978
229,217572,219978
230,217572,219469
231,217572,219978
232,217572,217572
233,217572,217572
234,217572,219978
235,217572,217572
236,217572,217572
237,217572,219469
238,217572,217572
239,217572,219978
240,217572,219978
241,217572,219978
242,217572,217572
243,217572,219469
244,217572,219978
245,217572,217572
246,217572,219469
247,217572,219469
248,217572,219469
249,217572,219469
250,217572,219978
251,217572,219978
252,217572,219469
253,217572,219469
254,217572,219978
255,217572,219978
256,217572,219469
257,217572,219469
258,217572,219469
259,217572,219469
260,217572,219469
261,217572,219978
262,217572,219469
263,217572,219978
264,217572,219469
265,217572,217572
266,217572,217572
267,217572,219469
268,217572,219469
269,217572,217572
270,217572,217572
271,217572,219469
272,217572,217572
273,217572,219978
274,217572,219978
275,217572,219469
276,217572,217572
277,217572,219978
278,217572,219978
279,217572,219469
280,217572,217572
281,217572,217572
282,217572,219978
283,217572,217572
284,217572,219469
285,217572,219469
286,217572,219469
287,217572,219978
288,217572,217572
289,217572,219469
290,217572,219978
291,217572,219978
292,217572,219978
293,217572,217572
294,217572,219469
295,217572,217572
296,217572,219978
297,217572,219469
298,217572,217572
299,217572,217572
300,217572,219469
301,217572,219978
302,217572,217572
303,217572,217572
304,217572,219978
305,217572,219469
306,217572,219978
307,217572,219469
308,217572,219469
309,217572,217572
310,217572,219978
311,217572,219978
312,217572,217572
313,217572,219469
314,217572,217572
315,217572,219469
316,217572,219469
317,217572,217572
318,217572,219469
319,217572,219978
320,217572,219469
321,217572,219978
322,217572,219469
323,217572,219469
324,217572,217572
325,217572,217572
326,217572,219978
327,217572,219469
328,217572,217572
329,217572,217572
330,217572,217572
331,217572,219469
332,217572,217572
333,217572,219978
334,217572,217572
335,217572,217572
336,217572,219978
337,217572,219469
338,217572,219978
339,217572,219978
340,217572,217572
341,217572,217572
342,217572,219469
343,217572,219978
344,217572,217572
345,217572,219469
346,217572,217572
347,217572,219469
348,217572,219978
349,217572,219469
350,217572,219978
351,217572,217572
352,217572,219978
353,217572,217572
354,217572,217572
355,217572,217572
356,217572,219978
357,217572,219978
358,217572,219978
359,217572,219469
360,217572,219978
361,217572,219469
362,217572,219469
363,217572,219469
364,217572,219469
365,217572,219978
366,217572,219469
367,217572,217572
368,217572,219978
369,217572,217572
370,217572,219978
371,217572,217572
372,217572,217572
373,217572,217572
374,217572,217572
375,217572,219469
376,217572,219978
377,217572,217572
378,217572,217572
379,217572,217572
380,217572,219978
381,217572,219978
382,217572,219978
383,217572,217572
384,217572,219978
385,217572,219978
386,217572,219469
387,217572,219469
388,217572,219978
389,217572,219469
390,217572,219978
391,217572,217572
392,217572,219469
393,217572,219469
394,217572,217572
395,217572,219978
396,217572,217572
397,217572,217572
398,217572,219469
399,217572,217572
400,217572,217572
401,217572,217572
402,217572,217572
403,217572,217572
404,217572,217572
405,217572,217572
406,217572,217572
407,217572,219978
408,217572,217572
409,217572,219469
410,217572,217572
411,217572,217572
412,217572,219469
413,217572,219469
414,217572,219978
415,217572,219978
416,217572,219978
417,217572,219978
418,217572,217572
419,217572,219978
420,217572,219978
421,217572,217572
422,217572,219978
423,217572,217572
424,217572,219469
425,217572,219978
426,217572,217572
427,217572,217572
428,217572,219978
429,217572,219469
430,217572,219978
431,217572,219469
432,217572,219978
433,217572,219469
434,217572,219469
435,217572,217572
436,217572,219469
437,217572,217572
438,217572,219978
439,217572,219469
440,217572,219978
441,217572,219978
442,217572,219469
443,217572,219978
444,217572,217572
445,217572,219978
446,217572,217572
447,217572,219469
448,217572,217572
449,217572,219978
450,217572,217572
451,217572,219469
452,217572,219978
453,217572,219978
454,217572,219978
455,217572,219469
456,217572,219469
457,217572,217572
458,217572,219978
459,217572,219978
460,217572,219469
461,217572,219469
462,217572,217572
463,217572,219978
464,217572,219978
465,217572,217572
466,217572,219469
467,217572,217572
468,217572,217572
469,217572,219978
470,217572,219469
471,217572,219978
472,217572,219978
473,217572,219978
474,217572,217572
475,217572,219978
476,217572,219978
477,217572,219469
478,217572,219469
479,217572,217572
480,217572,217572
481,217572,219469
482,217572,217572
483,217572,217572
484,217572,219978
485,217572,217572
486,217572,219978
487,217572,219469
488,217572,217572
489,217572,219978
490,217572,219469
491,217572,219469
492,217572,217572
493,217572,219978
494,217572,217572
495,217572,217572
496,217572,217572
497,217572,217572
498,217572,217572
499,217572,219469
500,217572,217572
501,217572,219978
502,217572,219469
503,217572,217572
504,217572,219469
505,217572,219978
506,217572,219978
507,217572,217572
508,217572,219469
509,217572,217572
510,217572,219978
511,217572,217572
512,217572,219978
513,217572,217572
514,217572,217572
515,217572,217572
516,217572,217572
517,217572,219469
518,217572,219469
519,217572,219978
520,217572,219978
521,217572,217572
522,217572,217572
523,217572,219978
524,217572,217572
525,217572,217572
526,217572,219469
527,217572,219469
528,217572,217572
529,217572,219469
530,217572,217572
531,217572,217572
532,217572,219978
533,217572,219469
534,217572,219978
535,217572,219469
536,217572,219469
537,217572,219978
538,217572,219978
539,217572,217572
540,217572,217572
541,217572,217572
542,217572,219978
543,217572,217572
544,217572,217572
545,217572,217572
546,217572,219978
547,217572,219469
548,217572,219978
549,217572,219469
550,217572,217572
551,217572,217572
552,217572,219978
553,217572,217572
554,217572,219469
555,217572,219469
556,217572,217572
557,217572,219978
558,217572,219978
559,217572,219978
560,217572,219469
561,217572,217572
562,217572,219978
563,217572,219469
564,217572,219978
565,217572,219978
566,217572,219978
567,217572,219978
568,217572,217572
569,217572,217572
570,217572,217572
571,217572,219469
572,217572,219978
573,217572,219978
574,217572,219469
575,217572,217572
576,217572,219469
577,217572,217572
578,217572,219978
579,217572,217572
580,217572,219469
581,217572,217572
582,217572,219978
583,217572,219469
584,217572,217572
585,217572,217572
586,217572,219469
587,217572,217572
588,217572,219469
589,217572,219978
590,217572,217572
591,217572,219469
592,217572,219978
593,217572,217572
594,217572,217572
595,217572,217572
596,217572,217572
597,217572,217572
598,217572,217572
599,217572,219978
600,217572,217572
601,217572,219469
602,217572,217572
603,217572,219469
604,217572,219469
605,217572,217572
606,217572,217572
607,217572,219978
608,217572,219469
609,217572,217572
610,217572,219469
611,217572,219978
612,217572,219469
613,217572,219469
614,217572,219978
615,217572,219469
616,217572,217572
617,217572,219978
618,217572,217572
619,217572,217572
620,217572,219978
621,217572,217572
622,217572,219469
623,217572,217572
624,217572,219469
625,217572,217572
626,217572,219978
627,217572,219978
628,217572,219978
629,217572,219469
630,217572,219978
631,217572,217572
632,217572,219469
633,217572,219469
634,217572,217572
635,217572,219978
636,217572,217572
637,217572,219978
638,217572,217572
639,217572,217572
640,217572,217572
641,217572,219469
642,217572,217572
643,217572,217572
644,217572,219469
645,217572,219978
