simulation,winner_full,winner_reduced
1,217572,219978
2,217572,217572
3,217572,217572
4,217572,219469
5,217572,219978
6,217572,219978
7,217572,219978
8,217572,217572
9,217572,219978
10,217572,219978
11,217572,219469
12,217572,219469
13,217572,219978
14,217572,219978
15,217572,219978
16,217572,219978
17,217572,219469
18,217572,219469
19,217572,219978
20,217572,219469
21,217572,217572
22,217572,219978
23,217572,219978
24,217572,217572
25,217572,219469
26,217572,219469
27,217572,217572
28,217572,219469
29,217572,217572
30,217572,219978
31,217572,217572
32,217572,219469
33,217572,217572
34,217572,217572
35,217572,219978
36,217572,219978
37,217572,219469
38,217572,219978
39,217572,219978
40,217572,219469
41,217572,217572
42,217572,219978
43,217572,219469
44,217572,217572
45,217572,219978
46,217572,219978
47,217572,219469
48,217572,217572
49,217572,219978
50,217572,219978
51,217572,217572
52,217572,217572
53,217572,219469
54,217572,219469
55,217572,219978
56,217572,219469
57,217572,219978
58,217572,219978
59,217572,217572
60,217572,219978
61,217572,219978
62,217572,219469
63,217572,217572
64,217572,219978
65,217572,219469
66,217572,219978
67,217572,217572
68,217572,217572
69,217572,219469
70,217572,219978
71,217572,219469
72,217572,219978
73,217572,217572
74,217572,219469
75,217572,219978
76,217572,219978
77,217572,217572
78,217572,217572
79,217572,217572
80,217572,219978
81,217572,219978
82,217572,219469
83,217572,219469
84,217572,217572
85,217572,217572
86,217572,219978
87,217572,219469
88,217572,219469
89,217572,219469
90,217572,219469
91,217572,219978
92,217572,219978
93,217572,217572
94,217572,219978
95,217572,219978
96,217572,219978
97,217572,219978
98,217572,219978
99,217572,217572
100,217572,217572
101,217572,219469
102,217572,219978
103,217572,217572
104,217572,219469
105,217572,219469
106,217572,217572
107,217572,217572
108,217572,219978
109,217572,219469
110,217572,217572
111,217572,219978
112,217572,217572
113,217572,219469
114,217572,219978
115,217572,219978
116,217572,219978
117,217572,219978
118,217572,219469
119,217572,219978
120,217572,217572
121,217572,219469
122,217572,219978
123,217572,217572
124,217572,219469
125,217572,219469
126,217572,219978
127,217572,217572
128,217572,219978
129,217572,219469
130,217572,219978
131,217572,217572
132,217572,219978
133,217572,217572
134,217572,217572
135,217572,219469
136,217572,219978
137,217572,219978
138,217572,217572
139,217572,219978
140,217572,219978
141,217572,219978
142,217572,219469
143,217572,219469
144,217572,219469
145,217572,217572
146,217572,219978
147,217572,219978
148,217572,217572
149,217572,217572
150,217572,219469
151,217572,217572
152,217572,219469
153,217572,219978
154,217572,219978
155,217572,219978
156,217572,219469
157,217572,219469
158,217572,219469
159,217572,219469
160,217572,219469
161,217572,219469
162,217572,219978
163,217572,219469
164,217572,219469
165,217572,219978
166,217572,219978
167,217572,219469
168,217572,219469
169,217572,219469
170,217572,217572
171,217572,219978
172,217572,219978
173,217572,219978
174,217572,219978
175,217572,219978
176,217572,219469
177,217572,219978
178,217572,217572
179,217572,219469
180,217572,219978
181,217572,219978
182,217572,219978
183,217572,219978
184,217572,219978
185,217572,219978
186,217572,219469
187,217572,219978
188,217572,217572
189,217572,219978
190,217572,219978
191,217572,219978
192,217572,217572
193,217572,217572
194,217572,219978
195,217572,219469
196,217572,217572
197,217572,219978
198,217572,219978
199,217572,219469
200,217572,219978
201,217572,219978
202,217572,219978
203,217572,219978
204,217572,219469
205,217572,219469
206,217572,219978
207,217572,219978
208,217572,219978
209,217572,219469
210,217572,219978
211,217572,219469
212,217572,219978
213,217572,219469
214,217572,219978
215,217572,219469
216,217572,217572
217,217572,219978
218,217572,217572
219,217572,219978
220,217572,219469
221,217572,219469
222,217572,219978
223,217572,217572
224,217572,219978
225,217572,219978
226,217572,217572
227,217572,219978
228,217572,219978
229,217572,219978
230,217572,219978
231,217572,217572
232,217572,219469
233,217572,219978
234,217572,219978
235,217572,219978
236,217572,219978
237,217572,219978
238,217572,217572
239,217572,219469
240,217572,219978
241,217572,219978
242,217572,219469
243,217572,219469
244,217572,219978
245,217572,219469
246,217572,219469
247,217572,219978
248,217572,219469
249,217572,219978
250,217572,219978
251,217572,219978
252,217572,219978
253,217572,219978
254,217572,219978
255,217572,219469
256,217572,217572
257,217572,219469
258,217572,217572
259,217572,219978
260,217572,217572
261,217572,219469
262,217572,219978
263,217572,219978
264,217572,219978
265,217572,219978
266,217572,219978
267,217572,219469
268,217572,219978
269,217572,219978
270,217572,219469
271,217572,217572
272,217572,217572
273,217572,219469
274,217572,219469
275,217572,217572
276,217572,219469
277,217572,219978
278,217572,217572
279,217572,217572
280,217572,219469
281,217572,219978
282,217572,219469
283,217572,217572
284,217572,217572
285,217572,217572
286,217572,219978
287,217572,219978
288,217572,219469
289,217572,217572
290,217572,219469
291,217572,219469
292,217572,219469
293,217572,219978
294,217572,217572
295,217572,217572
296,217572,219469
297,217572,219978
298,217572,217572
299,217572,219469
300,217572,219978
301,217572,219469
302,217572,219978
303,217572,217572
304,217572,217572
305,217572,217572
306,217572,217572
307,217572,217572
308,217572,219978
309,217572,219978
310,217572,219978
311,217572,219469
312,217572,219469
313,217572,217572
314,217572,219469
315,217572,219469
316,217572,219978
317,217572,219469
318,217572,219978
319,217572,219978
320,217572,219469
321,217572,219469
322,217572,217572
323,217572,219978
324,217572,217572
325,217572,219469
326,217572,219978
327,217572,219469
328,217572,219469
329,217572,219978
330,217572,219978
331,217572,219978
332,217572,219469
333,217572,219469
334,217572,217572
335,217572,217572
336,217572,219469
337,217572,219978
338,217572,219469
339,217572,219469
340,217572,217572
341,217572,219469
342,217572,219469
343,217572,219978
344,217572,219978
345,217572,219469
346,217572,217572
347,217572,219469
348,217572,219469
349,217572,219978
350,217572,219978
351,217572,217572
352,217572,219978
353,217572,219978
354,217572,217572
355,217572,217572
356,217572,219978
357,217572,219978
358,217572,219978
359,217572,217572
360,217572,219469
361,217572,219469
362,217572,217572
363,217572,219978
364,217572,217572
365,217572,217572
366,217572,219469
367,217572,219469
368,217572,219978
369,217572,217572
370,217572,219978
371,217572,217572
372,217572,219469
373,217572,219978
374,217572,217572
375,217572,219469
376,217572,219469
377,217572,217572
378,217572,219978
379,217572,219469
380,217572,219978
381,217572,219469
382,217572,219978
383,217572,219978
384,217572,219978
385,217572,219469
386,217572,219978
387,217572,219978
388,217572,217572
389,217572,219978
390,217572,219469
391,217572,217572
392,217572,219978
393,217572,219469
394,217572,219978
395,217572,219978
396,217572,219469
397,217572,217572
398,217572,219978
399,217572,219978
400,217572,219978
401,217572,219469
402,217572,219978
403,217572,219469
404,217572,219978
405,217572,219978
406,217572,219978
407,217572,219978
408,217572,217572
409,217572,219978
410,217572,219978
411,217572,217572
412,217572,219978
413,217572,219978
414,217572,219978
415,217572,217572
416,217572,219469
417,217572,219469
418,217572,219978
419,217572,219469
420,217572,219978
421,217572,217572
422,217572,219978
423,217572,219978
424,217572,219978
425,217572,219469
426,217572,217572
427,217572,219978
428,217572,219469
429,217572,219978
430,217572,219469
431,217572,219469
432,217572,217572
433,217572,219978
434,217572,219978
435,217572,217572
436,217572,217572
437,217572,219469
438,217572,219978
439,217572,219978
440,217572,217572
441,217572,219978
442,217572,217572
443,217572,219978
444,217572,219978
445,217572,219978
446,217572,219469
447,217572,217572
448,217572,217572
449,217572,219978
450,217572,219469
451,217572,219978
452,217572,219978
453,217572,217572
454,217572,219978
455,217572,219978
456,217572,217572
457,217572,219978
458,217572,219469
459,217572,219978
460,217572,219978
461,217572,219469
462,217572,219978
463,217572,217572
464,217572,217572
465,217572,219978
466,217572,219469
467,217572,219978
468,217572,219469
469,217572,217572
470,217572,219978
471,217572,219469
472,217572,217572
473,217572,219469
474,217572,219469
475,217572,217572
476,217572,217572
477,217572,219978
478,217572,219469
479,217572,219978
480,217572,219469
481,217572,219469
482,217572,217572
483,217572,219978
484,217572,217572
485,217572,219469
486,217572,219978
487,217572,219469
488,217572,217572
489,217572,217572
490,217572,217572
491,217572,219978
492,217572,219469
493,217572,219978
494,217572,219978
495,217572,217572
496,217572,219978
497,217572,219978
498,217572,219469
499,217572,217572
500,217572,219978
501,217572,219978
502,217572,219469
503,217572,219978
504,217572,219469
505,217572,219469
506,217572,219469
507,217572,219469
508,217572,219978
509,217572,217572
510,217572,219469
511,217572,219978
512,217572,219469
513,217572,217572
514,217572,219469
515,217572,219978
516,217572,219469
517,217572,219978
518,217572,219469
519,217572,219469
520,217572,219978
521,217572,219469
522,217572,217572
523,217572,219978
524,217572,217572
525,217572,219978
526,217572,219978
527,217572,219978
528,217572,219978
529,217572,219978
530,217572,219978
531,217572,217572
532,217572,219978
533,217572,219469
534,217572,219469
535,217572,217572
536,217572,219469
537,217572,217572
538,217572,217572
539,217572,219978
540,217572,219978
541,217572,217572
542,217572,219978
543,217572,219978
544,217572,219978
545,217572,217572
546,217572,219978
547,217572,219469
548,217572,219978
549,217572,217572
550,217572,219978
551,217572,217572
552,217572,219469
553,217572,219469
554,217572,217572
555,217572,219978
556,217572,219469
557,217572,219469
558,217572,219469
559,217572,219978
560,217572,219978
561,217572,219978
562,217572,219469
563,217572,219978
564,217572,219978
565,217572,219469
566,217572,217572
567,217572,219978
568,217572,219978
569,217572,219469
570,217572,219978
571,217572,219469
572,217572,219469
573,217572,217572
574,217572,219978
575,217572,217572
576,217572,219978
577,217572,219469
578,217572,219978
579,217572,219978
580,217572,219978
581,217572,219978
582,217572,219469
583,217572,219469
584,217572,219978
585,217572,217572
586,217572,219978
587,217572,219469
588,217572,219469
589,217572,217572
590,217572,217572
591,217572,219978
592,217572,219469
593,217572,219978
594,217572,219469
595,217572,219469
596,217572,217572
597,217572,217572
598,217572,219469
599,217572,217572
600,217572,219469
601,217572,219978
602,217572,219978
603,217572,219978
604,217572,219978
605,217572,217572
606,217572,219469
607,217572,219469
608,217572,219469
609,217572,219978
610,217572,217572
611,217572,219978
612,217572,219978
613,217572,219978
614,217572,219978
615,217572,219469
616,217572,219469
617,217572,219978
618,217572,219978
619,217572,219469
620,217572,217572
621,217572,219469
622,217572,219469
623,217572,217572
624,217572,219978
625,217572,219469
626,217572,217572
627,217572,217572
628,217572,219978
629,217572,217572
630,217572,217572
631,217572,219469
632,217572,219469
633,217572,219978
634,217572,219978
635,217572,219978
636,217572,219469
637,217572,217572
638,217572,219978
639,217572,219978
640,217572,219469
641,217572,219978
642,217572,219978
643,217572,219469
644,217572,219978
645,217572,219469
