1st,2nd,3rd,4th,Weight
1.0,,,,20873
1.0,2.0,,,21312
1.0,2.0,3.0,,9292
1.0,2.0,3.0,4.0,277
1.0,2.0,4.0,,1236
1.0,2.0,3.0,,830
1.0,3.0,,,616
1.0,3.0,2.0,,2424
1.0,3.0,2.0,4.0,77
1.0,3.0,4.0,,38
1.0,3.0,2.0,,67
1.0,4.0,,,532
1.0,2.0,,,303
1.0,2.0,3.0,,288
1.0,3.0,,,27
1.0,3.0,2.0,,119
2.0,,,,10883
2.0,1.0,,,17889
2.0,1.0,3.0,,6211
2.0,1.0,3.0,4.0,178
2.0,1.0,4.0,,1175
2.0,1.0,3.0,,510
2.0,3.0,,,6333
2.0,3.0,1.0,,6511
2.0,3.0,1.0,4.0,130
2.0,3.0,4.0,,521
2.0,3.0,1.0,,744
2.0,4.0,,,437
2.0,1.0,,,277
2.0,1.0,3.0,,202
2.0,3.0,,,156
2.0,3.0,1.0,,329
3.0,,,,20925
3.0,1.0,,,974
3.0,1.0,2.0,,2451
3.0,1.0,2.0,4.0,78
3.0,1.0,4.0,,81
3.0,1.0,2.0,,67
3.0,2.0,,,22775
3.0,2.0,1.0,,14643
3.0,2.0,1.0,4.0,294
3.0,2.0,4.0,,2014
3.0,2.0,1.0,,1916
3.0,4.0,,,3200
3.0,1.0,,,263
3.0,1.0,2.0,,492
3.0,2.0,,,2169
3.0,2.0,1.0,,2387
4.0,,,,537
1.0,,,,106
1.0,2.0,,,119
1.0,2.0,3.0,,130
1.0,3.0,,,23
1.0,3.0,2.0,,47
2.0,,,,234
2.0,1.0,,,219
2.0,1.0,3.0,,178
2.0,3.0,,,146
2.0,3.0,1.0,,256
3.0,,,,227
3.0,1.0,,,23
3.0,1.0,2.0,,98
3.0,2.0,,,242
3.0,2.0,1.0,,386
