1st,2nd,3rd,4th,5th,count
219469,219978,217605,218491,221183,868
219469,219978,218491,217605,221183,827
219978,219469,217605,221183,217796,811
219469,219978,217605,221183,218491,724
219469,219978,217605,218491,217796,656
219978,219469,217605,221183,218491,650
219469,219978,218491,217605,217796,609
217572,219469,218127,221183,217605,597
219469,219978,218491,221183,217605,590
217572,219469,218127,217605,221183,553
219469,219978,218491,217605,218117,549
219978,219469,221183,217605,217796,494
219978,219469,217605,218491,221183,494
219469,219978,217605,218491,218117,493
219469,219978,221183,217605,218491,492
219978,219469,217605,221183,217572,489
219469,218491,219978,217605,221183,480
219469,219978,217605,221183,217796,480
217572,219469,218127,221183,217796,468
219978,219469,217605,221183,218127,455
219469,218491,217605,221183,219978,452
219469,218491,217605,219978,221183,443
219469,218491,217605,219978,217796,442
219469,219978,221183,218491,217605,439
219469,218491,219978,221183,217605,432
217654,218491,217605,218127,219469,426
217572,219469,221183,218127,217605,417
217572,219469,217796,219978,217605,409
219469,219978,218491,217605,217572,409
217572,219978,217796,218127,221183,402
219978,217605,219469,221183,217796,401
219469,219978,217605,218491,217572,397
219469,217605,218491,219978,217796,391
219978,219469,217605,218491,217796,390
217572,219469,219978,217796,217605,389
217572,217796,219978,218127,221183,388
219469,217605,219978,218491,221183,387
219469,217605,218491,219978,221183,386
217572,218127,219469,221183,217605,382
219469,218491,217605,219978,218117,379
219978,217605,219469,221183,218127,379
219978,219469,221183,217605,218491,377
219978,217605,219469,221183,217572,372
217572,219469,218127,221183,219978,366
219469,217605,218491,221183,219978,365
217572,219978,217796,219469,217605,363
217572,219469,219978,221183,217796,357
219469,218491,219978,217605,217796,356
217572,219469,217605,221183,218127,352
217572,217796,218127,219978,221183,350
219978,219469,217605,217572,217796,350
219469,217605,219978,221183,218491,348
219978,217605,219469,221183,218491,346
217572,219469,218127,219978,217796,344
217572,219469,218127,219978,221183,343
217572,219469,217605,219978,217796,336
217572,217796,219978,219469,217605,336
217572,218127,219469,221183,217796,336
217572,219469,217605,221183,217796,332
219469,219978,221183,217605,217796,328
217572,219978,217796,218127,217605,328
219469,218491,219978,217605,218117,327
217572,219469,221183,217605,218127,326
217572,219469,218127,217796,219978,326
219978,217572,217796,218127,221183,322
219978,219469,217605,217572,221183,321
219978,217605,221183,219469,217796,321
217572,219469,218127,217605,217796,319
219978,217796,217572,218127,221183,317
217572,219469,219978,217605,217796,316
217572,219469,217796,219978,218127,315
219978,219469,218491,217605,221183,314
219469,219978,217605,221183,217572,313
219469,219978,218491,221183,217796,312
219978,219469,217605,218491,217572,311
219469,219978,218491,221183,218127,309
219978,217605,219469,217572,221183,304
217572,219469,217605,218127,221183,304
219978,219469,217605,217796,217572,303
217572,217796,219978,218127,217605,301
219469,217605,218491,219978,218117,300
219469,217605,219978,218491,217796,298
219978,219469,221183,217605,217572,297
217572,219469,217796,217605,219978,295
219978,217572,218127,221183,217796,294
217572,219978,217796,217605,221183,293
219978,217572,217796,218127,217605,289
217572,219469,221183,217796,217605,288
219978,217605,221183,219469,217572,284
219978,219469,217572,217605,217796,282
219978,217572,217605,221183,217796,282
219469,219978,218491,217605,221141,281
219978,219469,217605,217796,221183,280
217572,221183,219469,218127,217605,279
217572,219469,221183,217796,219978,278
219978,219469,217572,217796,217605,276
219978,217572,218127,217796,221183,274
217572,219469,217605,217796,219978,273
