Candidate_1,Candidate_2,Candidate_3,Candidate_4,Candidate_5,Weight
217572,217796,219978,219469,218491,231
219469,219978,217572,217796,218491,199
217572,219978,217796,219469,218491,163
219978,217572,217796,219469,218491,155
219978,219469,218491,217796,217572,150
217572,219978,219469,217796,218491,147
217572,219978,217796,218491,219469,137
217572,219978,219469,218491,217796,128
217572,217796,218491,219469,219978,115
217796,217572,219978,219469,218491,107
218491,219469,219978,217572,217796,76
219978,217572,217796,218491,219469,75
219469,218491,217796,219978,217572,53
218491,219469,219978,217796,217572,45
219469,218491,217796,217572,219978,37
217796,218491,219469,219978,217572,31
218491,219469,217796,217572,219978,17
218491,219469,217796,219978,217572,12
218491,217796,217572,219978,219469,9
218491,217796,219469,219978,217572,6
