DEM Mayor Choice 1 of 5 Citywide (024306),DEM Mayor Choice 2 of 5 Citywide (224306),DEM Mayor Choice 3 of 5 Citywide (324306),DEM Mayor Choice 4 of 5 Citywide (424306),DEM Mayor Choice 5 of 5 Citywide (524306)
undervote,undervote,undervote,undervote,undervote
217572,217605,221183,218922,219469
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
219469,217605,218491,217572,218117
219469,217605,218491,217572,217796
undervote,undervote,undervote,undervote,undervote
217572,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,221141,219978,undervote,undervote
217572,219978,217605,undervote,undervote
217796,undervote,undervote,undervote,undervote
217572,219469,217605,218491,undervote
219469,221141,undervote,undervote,undervote
217572,221183,217605,undervote,undervote
217796,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,221183,219978,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,221141,217796,218491,217605
undervote,undervote,undervote,undervote,undervote
overvote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,219469,217796,undervote,undervote
217572,221141,217796,218127,221183
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,219469,217796,218127,217605
undervote,undervote,undervote,undervote,undervote
219469,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,219469,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217654,219978,217572,undervote,undervote
undervote,undervote,undervote,undervote,undervote
overvote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,221183,218127,217605,217796
undervote,undervote,undervote,undervote,undervote
217796,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,221183,219469,218127,217605
undervote,undervote,undervote,undervote,undervote
217605,219978,217572,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,217654,218117,221183,218922
undervote,undervote,undervote,undervote,undervote
217572,217605,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,217605,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
overvote,219978,217654,221183,217796
undervote,undervote,undervote,undervote,undervote
217654,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,undervote,221183,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217572,219469,217796,217605,undervote
undervote,undervote,undervote,undervote,undervote
overvote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
221141,217572,217796,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
undervote,undervote,undervote,undervote,undervote
217796,219978,217572,218127,217605
undervote,undervote,undervote,undervote,undervote
217572,217605,219978,221183,217796
217572,218127,221183,217796,219469
