simulation,winner_full,winner_reduced
1,217572,219978
2,217572,219978
3,217572,219978
4,217572,219978
5,217572,219469
6,217572,219978
7,217572,219978
8,217572,219469
9,217572,219469
10,217572,219978
11,217572,219469
12,217572,217572
13,217572,219978
14,217572,217572
15,217572,217572
16,217572,219469
17,217572,219978
18,217572,217572
19,217572,219978
20,217572,217572
21,217572,219978
22,217572,217572
23,217572,219469
24,217572,219469
25,217572,219978
26,217572,219978
27,217572,219469
28,217572,219469
29,217572,217572
30,217572,217572
31,217572,217572
32,217572,219978
33,217572,219469
34,217572,217572
35,217572,219978
36,217572,217572
37,217572,217572
38,217572,217572
39,217572,219978
40,217572,219978
41,217572,217572
42,217572,219469
43,217572,219978
44,217572,217572
45,217572,219978
46,217572,217572
47,217572,219469
48,217572,219978
49,217572,219978
50,217572,219469
51,217572,219978
52,217572,219469
53,217572,217572
54,217572,219978
55,217572,219978
56,217572,219978
57,217572,219469
58,217572,219978
59,217572,219978
60,217572,217572
61,217572,219978
62,217572,219469
63,217572,219978
64,217572,219978
65,217572,219978
66,217572,219978
67,217572,219469
68,217572,219978
69,217572,217572
70,217572,217572
71,217572,219469
72,217572,219469
73,217572,219469
74,217572,219978
75,217572,219469
76,217572,217572
77,217572,219978
78,217572,219469
79,217572,219978
80,217572,219978
81,217572,219469
82,217572,217572
83,217572,219978
84,217572,217572
85,217572,219978
86,217572,219469
87,217572,217572
88,217572,219978
89,217572,219469
90,217572,217572
91,217572,217572
92,217572,219978
93,217572,217572
94,217572,219978
95,217572,219469
96,217572,219469
97,217572,217572
98,217572,219978
99,217572,219978
100,217572,219469
101,217572,219978
102,217572,217572
103,217572,217572
104,217572,219469
105,217572,219978
106,217572,217572
107,217572,217572
108,217572,219469
109,217572,219469
110,217572,217572
111,217572,217572
112,217572,217572
113,217572,219978
114,217572,217572
115,217572,217572
116,217572,219978
117,217572,219978
118,217572,219978
119,217572,219978
120,217572,219978
121,217572,219978
122,217572,219978
123,217572,219469
124,217572,219469
125,217572,219978
126,217572,219469
127,217572,219978
128,217572,217572
129,217572,219469
130,217572,219978
131,217572,217572
132,217572,219469
133,217572,217572
134,217572,217572
135,217572,219469
136,217572,219469
137,217572,219978
138,217572,219469
139,217572,219978
140,217572,219469
141,217572,219469
142,217572,219978
143,217572,219978
144,217572,219978
145,217572,219469
146,217572,219978
147,217572,219469
148,217572,219978
149,217572,219469
150,217572,219469
151,217572,219978
152,217572,219469
153,217572,219978
154,217572,219469
155,217572,219978
156,217572,217572
157,217572,219978
158,217572,219469
159,217572,219978
160,217572,217572
161,217572,217572
162,217572,219469
163,217572,219469
164,217572,217572
165,217572,219978
166,217572,219978
167,217572,217572
168,217572,219469
169,217572,219978
170,217572,219469
171,217572,219469
172,217572,219469
173,217572,219469
174,217572,219978
175,217572,217572
176,217572,219978
177,217572,219978
178,217572,219469
179,217572,219469
180,217572,219978
181,217572,219978
182,217572,219978
183,217572,219469
184,217572,219978
185,217572,219978
186,217572,219978
187,217572,219978
188,217572,217572
189,217572,217572
190,217572,219978
191,217572,219978
192,217572,219978
193,217572,217572
194,217572,219469
195,217572,219469
196,217572,219978
197,217572,219469
198,217572,217572
199,217572,219978
200,217572,219978
201,217572,217572
202,217572,219978
203,217572,219978
204,217572,219469
205,217572,219469
206,217572,219978
207,217572,219469
208,217572,217572
209,217572,219469
210,217572,219469
211,217572,219978
212,217572,217572
213,217572,219469
214,217572,219469
215,217572,219469
216,217572,219469
217,217572,219469
218,217572,217572
219,217572,219469
220,217572,219469
221,217572,219469
222,217572,219978
223,217572,217572
224,217572,217572
225,217572,219469
226,217572,219978
227,217572,219469
228,217572,219469
229,217572,219978
230,217572,219469
231,217572,219469
232,217572,219469
233,217572,217572
234,217572,219978
235,217572,219978
236,217572,219469
237,217572,217572
238,217572,219978
239,217572,219978
240,217572,219469
241,217572,217572
242,217572,217572
243,217572,217572
244,217572,219469
245,217572,217572
246,217572,219978
247,217572,217572
248,217572,219978
249,217572,219469
250,217572,217572
251,217572,219469
252,217572,219978
253,217572,219469
254,217572,219469
255,217572,217572
256,217572,219978
257,217572,219978
258,217572,217572
259,217572,219469
260,217572,217572
261,217572,217572
262,217572,219978
263,217572,217572
264,217572,219978
265,217572,219469
266,217572,219978
267,217572,219978
268,217572,219469
269,217572,219469
270,217572,219978
271,217572,219469
272,217572,219978
273,217572,219978
274,217572,219978
275,217572,219978
276,217572,219978
277,217572,219469
278,217572,219469
279,217572,217572
280,217572,217572
281,217572,219978
282,217572,219469
283,217572,219978
284,217572,219978
285,217572,219978
286,217572,219978
287,217572,219978
288,217572,219978
289,217572,219978
290,217572,217572
291,217572,219978
292,217572,219978
293,217572,219978
294,217572,219469
295,217572,219978
296,217572,219978
297,217572,219978
298,217572,217572
299,217572,219469
300,217572,219469
301,217572,219978
302,217572,219469
303,217572,219978
304,217572,217572
305,217572,219469
306,217572,219978
307,217572,219978
308,217572,217572
309,217572,219469
310,217572,219978
311,217572,219978
312,217572,219469
313,217572,217572
314,217572,219469
315,217572,219978
316,217572,219469
317,217572,219978
318,217572,219978
319,217572,219978
320,217572,219469
321,217572,217572
322,217572,219469
323,217572,217572
324,217572,219978
325,217572,217572
326,217572,217572
327,217572,219978
328,217572,219978
329,217572,219469
330,217572,219978
331,217572,219978
332,217572,219978
333,217572,219469
334,217572,219469
335,217572,219469
336,217572,219978
337,217572,217572
338,217572,217572
339,217572,219978
340,217572,219978
341,217572,217572
342,217572,219469
343,217572,219978
344,217572,217572
345,217572,219469
346,217572,219469
347,217572,219978
348,217572,219978
349,217572,219978
350,217572,219469
351,217572,217572
352,217572,219978
353,217572,219978
354,217572,219978
355,217572,217572
356,217572,217572
357,217572,219469
358,217572,219978
359,217572,219469
360,217572,217572
361,217572,219978
362,217572,219469
363,217572,219469
364,217572,219978
365,217572,219978
366,217572,219469
367,217572,219978
368,217572,219978
369,217572,217572
370,217572,219469
371,217572,219978
372,217572,219469
373,217572,219469
374,217572,217572
375,217572,219978
376,217572,219978
377,217572,219978
378,217572,217572
379,217572,217572
380,217572,219978
381,217572,219469
382,217572,219978
383,217572,219469
384,217572,219978
385,217572,219978
386,217572,219978
387,217572,219978
388,217572,217572
389,217572,217572
390,217572,219469
391,217572,217572
392,217572,217572
393,217572,217572
394,217572,219978
395,217572,219469
396,217572,219469
397,217572,217572
398,217572,217572
399,217572,219978
400,217572,219978
401,217572,219978
402,217572,217572
403,217572,219469
404,217572,217572
405,217572,219469
406,217572,219978
407,217572,217572
408,217572,219978
409,217572,217572
410,217572,217572
411,217572,219978
412,217572,219978
413,217572,219469
414,217572,219978
415,217572,219978
416,217572,219469
417,217572,219469
418,217572,217572
419,217572,219469
420,217572,217572
421,217572,217572
422,217572,219469
423,217572,219469
424,217572,217572
425,217572,219978
426,217572,219469
427,217572,219469
428,217572,217572
429,217572,219978
430,217572,217572
431,217572,219469
432,217572,219469
433,217572,219978
434,217572,219978
435,217572,219978
436,217572,217572
437,217572,219469
438,217572,219978
439,217572,219978
440,217572,219469
441,217572,219469
442,217572,219469
443,217572,219978
444,217572,217572
445,217572,219469
446,217572,219978
447,217572,219978
448,217572,219978
449,217572,219469
450,217572,219469
451,217572,219469
452,217572,219469
453,217572,219469
454,217572,219978
455,217572,219469
456,217572,219978
457,217572,217572
458,217572,219978
459,217572,217572
460,217572,219978
461,217572,219978
462,217572,219469
463,217572,219469
464,217572,219978
465,217572,219978
466,217572,219469
467,217572,219978
468,217572,219469
469,217572,217572
470,217572,219978
471,217572,219978
472,217572,219469
473,217572,217572
474,217572,219978
475,217572,219469
476,217572,219978
477,217572,219978
478,217572,219978
479,217572,219978
480,217572,219978
481,217572,219978
482,217572,217572
483,217572,219978
484,217572,219978
485,217572,219978
486,217572,217572
487,217572,219978
488,217572,219978
489,217572,219469
490,217572,217572
491,217572,217572
492,217572,219978
493,217572,219978
494,217572,219978
495,217572,219978
496,217572,219469
497,217572,219469
498,217572,219978
499,217572,217572
500,217572,217572
501,217572,219469
502,217572,219469
503,217572,217572
504,217572,219978
505,217572,219469
506,217572,219469
507,217572,219978
508,217572,219469
509,217572,219978
510,217572,219469
511,217572,217572
512,217572,219469
513,217572,217572
514,217572,217572
515,217572,219469
516,217572,219978
517,217572,219469
518,217572,219469
519,217572,219469
520,217572,217572
521,217572,219469
522,217572,219469
523,217572,217572
524,217572,219469
525,217572,219469
526,217572,217572
527,217572,219469
528,217572,219978
529,217572,219978
530,217572,219978
531,217572,219978
532,217572,219469
533,217572,219978
534,217572,217572
535,217572,219469
536,217572,219978
537,217572,219469
538,217572,219469
539,217572,219469
540,217572,219978
541,217572,219469
542,217572,219469
543,217572,219978
544,217572,219469
545,217572,219978
546,217572,219978
547,217572,219469
548,217572,219469
549,217572,219978
550,217572,217572
551,217572,219978
552,217572,219469
553,217572,219469
554,217572,219469
555,217572,217572
556,217572,219469
557,217572,217572
558,217572,219978
559,217572,219978
560,217572,217572
561,217572,219978
562,217572,217572
563,217572,219978
564,217572,219469
565,217572,219978
566,217572,219978
567,217572,219978
568,217572,217572
569,217572,219469
570,217572,219978
571,217572,219978
572,217572,219469
573,217572,217572
574,217572,219469
575,217572,217572
576,217572,219978
577,217572,217572
578,217572,219978
579,217572,217572
580,217572,219469
581,217572,219469
582,217572,219978
583,217572,219469
584,217572,219978
585,217572,219978
586,217572,219978
587,217572,217572
588,217572,219978
589,217572,219978
590,217572,217572
591,217572,219978
592,217572,219469
593,217572,219978
594,217572,219469
595,217572,219978
596,217572,217572
597,217572,219978
598,217572,219978
599,217572,219469
600,217572,219978
601,217572,219978
602,217572,219978
603,217572,219469
604,217572,219978
605,217572,217572
606,217572,219469
607,217572,219469
608,217572,219978
609,217572,217572
610,217572,219978
611,217572,219978
612,217572,217572
613,217572,217572
614,217572,219469
615,217572,219469
616,217572,219978
617,217572,219978
618,217572,219469
619,217572,219469
620,217572,219469
621,217572,219469
622,217572,217572
623,217572,219978
624,217572,217572
625,217572,219469
626,217572,217572
627,217572,219978
628,217572,219469
629,217572,219469
630,217572,217572
631,217572,219978
632,217572,219469
633,217572,217572
634,217572,219469
635,217572,219978
636,217572,219978
637,217572,217572
638,217572,219978
639,217572,217572
640,217572,219469
641,217572,219469
642,217572,219978
643,217572,219978
644,217572,219978
645,217572,217572
646,217572,219978
647,217572,219978
648,217572,219469
649,217572,217572
650,217572,217572
651,217572,217572
652,217572,217572
653,217572,217572
654,217572,219978
655,217572,219978
656,217572,219978
657,217572,219978
658,217572,219978
659,217572,219978
660,217572,219978
661,217572,217572
662,217572,219978
663,217572,217572
664,217572,219978
665,217572,219978
666,217572,219978
667,217572,219978
668,217572,219469
669,217572,219469
670,217572,219978
671,217572,219978
672,217572,219978
673,217572,219978
674,217572,219469
675,217572,217572
676,217572,219978
677,217572,219469
678,217572,217572
679,217572,217572
680,217572,219469
681,217572,217572
682,217572,219978
683,217572,219978
684,217572,219469
685,217572,219469
686,217572,217572
687,217572,219978
688,217572,219978
689,217572,219978
690,217572,219978
691,217572,219978
692,217572,219978
693,217572,219978
694,217572,219469
695,217572,219469
696,217572,219978
697,217572,219469
698,217572,219978
699,217572,219469
700,217572,219978
701,217572,219978
702,217572,219469
703,217572,219469
704,217572,217572
705,217572,219978
706,217572,217572
707,217572,219978
708,217572,219978
709,217572,219469
710,217572,219978
711,217572,219978
712,217572,219978
713,217572,219469
714,217572,219978
715,217572,217572
716,217572,219469
717,217572,217572
718,217572,219978
719,217572,217572
720,217572,219978
721,217572,219978
722,217572,219469
723,217572,217572
724,217572,219978
725,217572,219978
726,217572,219978
727,217572,219978
728,217572,217572
729,217572,219978
730,217572,217572
731,217572,219469
732,217572,219978
733,217572,219469
734,217572,219978
735,217572,217572
736,217572,219469
737,217572,217572
738,217572,219978
739,217572,219978
740,217572,217572
741,217572,219978
742,217572,219469
743,217572,219469
744,217572,217572
745,217572,219469
746,217572,217572
747,217572,219978
748,217572,217572
749,217572,219978
750,217572,219469
751,217572,219978
752,217572,217572
753,217572,219978
754,217572,219978
755,217572,219469
756,217572,219469
757,217572,217572
758,217572,217572
759,217572,217572
760,217572,219469
761,217572,219469
762,217572,219978
763,217572,219469
764,217572,219978
765,217572,219978
766,217572,219978
767,217572,217572
768,217572,219978
769,217572,219978
770,217572,219469
771,217572,219469
772,217572,217572
773,217572,217572
774,217572,219469
775,217572,219469
776,217572,219469
777,217572,217572
778,217572,217572
779,217572,217572
780,217572,219978
781,217572,219978
782,217572,219978
783,217572,219978
784,217572,219469
785,217572,219978
786,217572,217572
787,217572,217572
788,217572,219469
789,217572,217572
790,217572,219469
791,217572,217572
792,217572,219469
793,217572,219469
794,217572,219978
795,217572,219978
796,217572,217572
797,217572,219978
798,217572,219978
799,217572,219978
800,217572,219978
801,217572,219978
802,217572,219469
803,217572,217572
804,217572,217572
805,217572,217572
806,217572,219978
807,217572,219978
808,217572,219978
809,217572,219978
810,217572,219469
811,217572,219469
812,217572,219978
813,217572,219469
814,217572,219978
815,217572,219469
816,217572,217572
817,217572,219978
818,217572,217572
819,217572,219469
820,217572,219978
821,217572,217572
822,217572,219469
823,217572,217572
824,217572,219469
825,217572,219978
826,217572,217572
827,217572,217572
828,217572,217572
829,217572,219978
830,217572,219978
831,217572,219978
832,217572,219469
833,217572,219978
834,217572,219978
835,217572,219469
836,217572,219978
837,217572,219978
838,217572,219469
839,217572,219978
840,217572,219978
841,217572,219469
842,217572,219469
843,217572,219978
844,217572,219469
845,217572,219469
846,217572,219978
847,217572,219978
848,217572,219469
849,217572,219978
850,217572,217572
851,217572,217572
852,217572,219978
853,217572,219978
854,217572,219469
855,217572,219469
856,217572,219978
857,217572,219978
858,217572,217572
859,217572,219469
860,217572,219978
861,217572,217572
862,217572,219978
863,217572,219978
864,217572,219469
865,217572,219978
866,217572,219469
867,217572,219978
868,217572,217572
869,217572,219469
870,217572,219978
871,217572,219978
872,217572,217572
873,217572,219469
874,217572,219469
875,217572,219469
876,217572,219978
877,217572,219978
878,217572,219469
879,217572,217572
880,217572,219469
881,217572,219978
882,217572,219978
883,217572,219978
884,217572,219469
885,217572,219469
886,217572,219978
887,217572,219978
888,217572,217572
889,217572,219469
890,217572,219469
891,217572,219978
892,217572,217572
893,217572,217572
894,217572,219978
895,217572,217572
896,217572,219978
897,217572,217572
898,217572,217572
899,217572,219469
900,217572,219469
901,217572,219978
902,217572,219469
903,217572,219469
904,217572,219978
905,217572,219978
906,217572,217572
907,217572,219469
908,217572,219978
909,217572,219978
910,217572,219978
911,217572,219469
912,217572,219978
913,217572,219978
914,217572,219469
915,217572,217572
916,217572,219469
917,217572,219978
918,217572,219469
919,217572,219978
920,217572,217572
921,217572,219469
922,217572,219469
923,217572,219978
924,217572,219469
925,217572,219978
926,217572,219469
927,217572,217572
928,217572,219978
929,217572,217572
930,217572,219978
931,217572,219469
932,217572,219978
933,217572,217572
934,217572,217572
935,217572,219469
936,217572,219469
937,217572,219469
938,217572,219469
939,217572,219978
940,217572,219978
941,217572,217572
942,217572,219978
943,217572,219469
944,217572,219978
945,217572,219978
946,217572,219978
947,217572,219978
948,217572,219469
949,217572,217572
950,217572,219978
951,217572,219978
952,217572,219469
953,217572,219469
954,217572,219978
955,217572,219978
956,217572,217572
